"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Senile.coral.reef"
"246"	"f000/wlh2_000973.jpg"	0.988	0.006	0	0.006
"247"	"f000/wlh2_000202.jpg"	0.436	0.322	0	0.242
"248"	"f000/wlh2_000334.jpg"	0.15	0.096	0	0.754
"249"	"f000/wlh2_000153.jpg"	0.13	0.048	0	0.822
"250"	"f000/wlh2_000330.jpg"	0.052	0.132	0	0.816
"251"	"f000/wlh2_000909.jpg"	0.196	0.494	0.014	0.296
"252"	"f000/wlh2_000914.jpg"	0.876	0.096	0.002	0.026
"253"	"f000/wlh2_000851.jpg"	0.206	0.114	0	0.68
"254"	"f000/wlh2_000736.jpg"	0.754	0.096	0	0.15
"255"	"f000/wlh2_000638.jpg"	0.004	0.98	0	0.016
"256"	"f000/wlh2_000443.jpg"	0.038	0.938	0.002	0.022
"257"	"f000/wlh2_000978.jpg"	0.984	0.006	0	0.01
"258"	"f000/wlh2_000339.jpg"	0.962	0.026	0	0.012
"259"	"f000/wlh2_000517.jpg"	0.996	0.004	0	0
"260"	"f000/wlh2_000242.jpg"	0.876	0.026	0	0.098
"261"	"f000/wlh2_000356.jpg"	0.18	0.768	0	0.052
"262"	"f000/wlh2_000652.jpg"	0.01	0.92	0	0.07
"263"	"f000/wlh2_000029.jpg"	0.988	0.004	0	0.008
"264"	"f000/wlh2_000271.jpg"	0.854	0.086	0	0.06
"265"	"f000/wlh2_000718.jpg"	0.318	0.012	0	0.67
"266"	"f000/wlh2_000698.jpg"	0.008	0.246	0	0.746
"267"	"f000/wlh2_000249.jpg"	0.89	0.076	0	0.034
"268"	"f000/wlh2_000553.jpg"	0.994	0.002	0	0.004
"269"	"f000/wlh2_000998.jpg"	0.988	0.008	0	0.004
"270"	"f000/wlh2_000470.jpg"	0.96	0.01	0	0.03
"271"	"f000/wlh2_000315.jpg"	0.79	0.036	0	0.174
"272"	"f000/wlh2_000133.jpg"	0.228	0.17	0	0.602
"273"	"f000/wlh2_000353.jpg"	0.188	0.772	0	0.04
"274"	"f000/wlh2_000285.jpg"	0.08	0.262	0.006	0.652
"275"	"f000/wlh2_000876.jpg"	0.176	0.19	0	0.634
"276"	"f000/wlh2_000255.jpg"	0.736	0.108	0	0.156
"277"	"f000/wlh2_000986.jpg"	0.988	0.002	0	0.01
"278"	"f000/wlh2_000164.jpg"	0.13	0.396	0.01	0.464
"279"	"f000/wlh2_000582.jpg"	0.984	0.008	0.002	0.006
"280"	"f000/wlh2_000632.jpg"	0.004	0.954	0	0.042
"281"	"f000/wlh2_000238.jpg"	0.97	0.018	0	0.012
"282"	"f000/wlh2_000555.jpg"	0.972	0.008	0	0.02
"283"	"f000/wlh2_000418.jpg"	0.274	0.456	0	0.27
"284"	"f000/wlh2_000854.jpg"	0.796	0.154	0	0.05
"285"	"f000/wlh2_000787.jpg"	0.08	0.814	0	0.106
"286"	"f000/wlh2_000887.jpg"	0.002	0.922	0	0.076
"287"	"f000/wlh2_000087.jpg"	0.474	0.294	0.006	0.226
"288"	"f000/wlh2_000636.jpg"	0.034	0.866	0.002	0.098
"289"	"f000/wlh2_000936.jpg"	0.068	0.906	0.002	0.024
"290"	"f000/wlh2_000044.jpg"	0.99	0.006	0	0.004
"291"	"f000/wlh2_000794.jpg"	0.006	0.334	0	0.66
"292"	"f000/wlh2_000391.jpg"	0.638	0.264	0	0.098
"293"	"f000/wlh2_000081.jpg"	0.724	0.208	0	0.068
"294"	"f000/wlh2_000122.jpg"	0.836	0.088	0	0.076
"295"	"f000/wlh2_000829.jpg"	0.026	0.248	0	0.726
"296"	"f000/wlh2_000818.jpg"	0.3	0.586	0	0.114
"297"	"f000/wlh2_000035.jpg"	0.976	0.016	0	0.008
