"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Seagrasses"	"Senile.coral.reef"
"181"	"f004/elh2_004044.jpg"	0	0.024	0.962	0	0.014
"182"	"f004/elh2_004203.jpg"	0.002	0.308	0.436	0	0.254
"183"	"f004/elh2_004595.jpg"	0	0.026	0	0	0.974
"184"	"f004/elh2_004534.jpg"	0	0.504	0.006	0	0.49
"185"	"f004/elh2_004003.jpg"	0	0	1	0	0
"186"	"f004/elh2_004131.jpg"	0	0.3	0.652	0	0.048
"187"	"f004/elh2_004802.jpg"	0.004	0.248	0	0	0.748
"188"	"f004/elh2_004987.jpg"	0.152	0.568	0.004	0	0.276
"189"	"f004/elh2_004803.jpg"	0.004	0.148	0	0	0.848
"190"	"f004/elh2_004274.jpg"	0	0.764	0.054	0	0.182
"191"	"f004/elh2_004332.jpg"	0.002	0.848	0.004	0	0.146
"192"	"f004/elh2_004079.jpg"	0	0.008	0.992	0	0
"193"	"f004/elh2_004757.jpg"	0.372	0.368	0	0	0.26
"194"	"f004/elh2_004927.jpg"	0.08	0.604	0	0	0.316
"195"	"f004/elh2_004682.jpg"	0.004	0.054	0	0	0.942
"196"	"f004/elh2_004394.jpg"	0	0.834	0.008	0	0.158
"197"	"f004/elh2_004024.jpg"	0	0	1	0	0
"198"	"f004/elh2_004405.jpg"	0.002	0.744	0.058	0	0.196
"199"	"f004/elh2_004456.jpg"	0.046	0.612	0	0	0.342
"200"	"f004/elh2_004389.jpg"	0	0.858	0.024	0	0.118
"201"	"f004/elh2_004448.jpg"	0.014	0.548	0.002	0	0.436
"202"	"f004/elh2_004555.jpg"	0.028	0.126	0	0	0.846
"203"	"f004/elh2_004160.jpg"	0	0.138	0.832	0	0.03
"204"	"f004/elh2_004742.jpg"	0.242	0.252	0	0	0.506
"205"	"f004/elh2_004195.jpg"	0	0.304	0.178	0	0.518
"206"	"f004/elh2_004763.jpg"	0.056	0.266	0	0	0.678
"207"	"f004/elh2_004909.jpg"	0.146	0.398	0.002	0	0.454
"208"	"f004/elh2_004388.jpg"	0.002	0.706	0.022	0	0.27
"209"	"f004/elh2_004426.jpg"	0	0.84	0.014	0	0.146
"210"	"f004/elh2_004830.jpg"	0.028	0.236	0	0	0.736
"211"	"f004/elh2_004387.jpg"	0	0.792	0.008	0	0.2
"212"	"f004/elh2_004508.jpg"	0.01	0.858	0	0	0.132
"213"	"f004/elh2_004463.jpg"	0.006	0.47	0.002	0	0.522
"214"	"f004/elh2_004403.jpg"	0.002	0.97	0.004	0	0.024
"215"	"f004/elh2_004886.jpg"	0.01	0.146	0.002	0	0.842
"216"	"f004/elh2_004414.jpg"	0.052	0.74	0.002	0	0.206
"217"	"f004/elh2_004708.jpg"	0	0.5	0.004	0	0.496
"218"	"f004/elh2_004281.jpg"	0	0.548	0.116	0	0.336
"219"	"f004/elh2_004685.jpg"	0.006	0.29	0	0	0.704
"220"	"f004/elh2_004255.jpg"	0.004	0.596	0.088	0	0.312
"221"	"f004/elh2_004669.jpg"	0.034	0.238	0	0	0.728
"222"	"f004/elh2_004679.jpg"	0.022	0.118	0	0	0.86
"223"	"f004/elh2_004073.jpg"	0	0	0.99	0.01	0
"224"	"f004/elh2_004036.jpg"	0	0	0.994	0.006	0
"225"	"f004/elh2_004906.jpg"	0.09	0.316	0	0	0.594
"226"	"f004/elh2_004098.jpg"	0	0.018	0.982	0	0
"227"	"f004/elh2_004624.jpg"	0.11	0.22	0	0	0.67
"228"	"f004/elh2_004005.jpg"	0	0	0.982	0.018	0
"229"	"f004/elh2_004153.jpg"	0	0.21	0.454	0	0.336
"230"	"f004/elh2_004267.jpg"	0.004	0.858	0.036	0	0.102
"231"	"f004/elh2_004074.jpg"	0	0.014	0.984	0	0.002
"232"	"f004/elh2_004753.jpg"	0.4	0.374	0.07	0	0.156
"233"	"f004/elh2_004841.jpg"	0.006	0.752	0.018	0	0.224
"234"	"f004/elh2_004438.jpg"	0.078	0.378	0.022	0	0.522
"235"	"f004/elh2_004617.jpg"	0	0.012	0.002	0	0.986
"236"	"f004/elh2_004820.jpg"	0.178	0.464	0	0	0.358
"237"	"f004/elh2_004157.jpg"	0	0.264	0.556	0	0.18
"238"	"f004/elh2_004358.jpg"	0	0.926	0	0	0.074
"239"	"f004/elh2_004915.jpg"	0.144	0.46	0	0	0.396
"240"	"f004/elh2_004276.jpg"	0	0.498	0.234	0	0.268
"241"	"f004/elh2_004329.jpg"	0.002	0.924	0.018	0	0.056
"242"	"f004/elh2_004879.jpg"	0	0.354	0	0	0.646
"243"	"f004/elh2_004671.jpg"	0.002	0.204	0	0	0.794
"244"	"f004/elh2_004871.jpg"	0.094	0.62	0	0	0.286
"245"	"f004/elh2_004567.jpg"	0.008	0.332	0	0	0.66
"246"	"f004/elh2_004613.jpg"	0.052	0.25	0	0	0.698
"247"	"f004/elh2_004929.jpg"	0.038	0.796	0	0	0.166
"248"	"f004/elh2_004254.jpg"	0.004	0.626	0.03	0	0.34
"249"	"f004/elh2_004487.jpg"	0	0.44	0	0	0.56
"250"	"f004/elh2_004882.jpg"	0.002	0.228	0	0	0.77
"251"	"f004/elh2_004462.jpg"	0	0.534	0.002	0	0.464
"252"	"f004/elh2_004124.jpg"	0	0.628	0.342	0.03	0
"253"	"f004/elh2_004923.jpg"	0.236	0.566	0	0	0.198
"254"	"f004/elh2_004627.jpg"	0.002	0.142	0	0	0.856
"255"	"f004/elh2_004491.jpg"	0.016	0.348	0.004	0	0.632
"256"	"f004/elh2_004409.jpg"	0.008	0.848	0.012	0	0.132
"257"	"f004/elh2_004442.jpg"	0.008	0.792	0.014	0	0.186
"258"	"f004/elh2_004133.jpg"	0	0.378	0.404	0	0.218
"259"	"f004/elh2_004081.jpg"	0	0.004	0.994	0.002	0
"260"	"f004/elh2_004536.jpg"	0.008	0.436	0	0	0.556
"261"	"f004/elh2_004748.jpg"	0.232	0.482	0.058	0	0.228
"262"	"f004/elh2_004075.jpg"	0	0.004	0.99	0	0.006
"263"	"f004/elh2_004091.jpg"	0	0.006	0.99	0.004	0
"264"	"f004/elh2_004930.jpg"	0.096	0.736	0	0	0.168
"265"	"f004/elh2_004652.jpg"	0.016	0.164	0	0	0.82
"266"	"f004/elh2_004221.jpg"	0	0.348	0.152	0	0.5
"267"	"f004/elh2_004214.jpg"	0	0.444	0.106	0	0.45
"268"	"f004/elh2_004444.jpg"	0.002	0.48	0	0	0.518
"269"	"f004/elh2_004572.jpg"	0.074	0.302	0	0	0.624
"270"	"f004/elh2_004504.jpg"	0.008	0.634	0	0	0.358
"271"	"f004/elh2_004380.jpg"	0.028	0.662	0.008	0	0.302
"272"	"f004/elh2_004076.jpg"	0	0	0.996	0.004	0
"273"	"f004/elh2_004732.jpg"	0.066	0.32	0	0	0.614
"274"	"f004/elh2_004588.jpg"	0.014	0.33	0	0	0.656
"275"	"f004/elh2_004152.jpg"	0	0.088	0.76	0	0.152
"276"	"f004/elh2_004273.jpg"	0.004	0.872	0.022	0	0.102
"277"	"f004/elh2_004289.jpg"	0.004	0.576	0.124	0	0.296
"278"	"f004/elh2_004778.jpg"	0.676	0.21	0	0	0.114
"279"	"f004/elh2_004997.jpg"	0.084	0.254	0	0	0.662
"280"	"f004/elh2_004870.jpg"	0.132	0.488	0.002	0	0.378
"281"	"f004/elh2_004539.jpg"	0.002	0.516	0.006	0	0.476
"282"	"f004/elh2_004179.jpg"	0.002	0.188	0.128	0	0.682
"283"	"f004/elh2_004615.jpg"	0.01	0.104	0	0	0.886
"284"	"f004/elh2_004512.jpg"	0.004	0.494	0	0	0.502
"285"	"f004/elh2_004391.jpg"	0	0.988	0	0	0.012
"286"	"f004/elh2_004738.jpg"	0.638	0.21	0.004	0	0.148
"287"	"f004/elh2_004264.jpg"	0	0.696	0.092	0	0.212
"288"	"f004/elh2_004554.jpg"	0.008	0.208	0	0	0.784
"289"	"f004/elh2_004172.jpg"	0	0.122	0.1	0	0.778
"290"	"f004/elh2_004360.jpg"	0	0.882	0.01	0	0.108
"291"	"f004/elh2_004790.jpg"	0.718	0.154	0	0	0.128
"292"	"f004/elh2_004306.jpg"	0.002	0.888	0.052	0	0.058
"293"	"f004/elh2_004774.jpg"	0.018	0.622	0.04	0	0.32
"294"	"f004/elh2_004822.jpg"	0.072	0.17	0	0	0.758
"295"	"f004/elh2_004175.jpg"	0	0.368	0.582	0	0.05
"296"	"f004/elh2_004559.jpg"	0.028	0.382	0.014	0	0.576
"297"	"f004/elh2_004840.jpg"	0.002	0.666	0.002	0	0.33
"298"	"f004/elh2_004375.jpg"	0.016	0.786	0.004	0	0.194
"299"	"f004/elh2_004656.jpg"	0.036	0.79	0	0	0.174
"300"	"f004/elh2_004268.jpg"	0.002	0.466	0.234	0	0.298
"301"	"f004/elh2_004402.jpg"	0.002	0.704	0.012	0	0.282
"302"	"f004/elh2_004186.jpg"	0	0.45	0.336	0	0.214
"303"	"f004/elh2_004205.jpg"	0.008	0.132	0.04	0	0.82
"304"	"f004/elh2_004193.jpg"	0.002	0.26	0.37	0	0.368
"305"	"f004/elh2_004689.jpg"	0.102	0.354	0.002	0	0.542
"306"	"f004/elh2_004359.jpg"	0	0.868	0.038	0	0.094
"307"	"f004/elh2_004110.jpg"	0	0.112	0.874	0	0.014
"308"	"f004/elh2_004007.jpg"	0	0	0.998	0.002	0
"309"	"f004/elh2_004858.jpg"	0.074	0.664	0.004	0	0.258
"310"	"f004/elh2_004174.jpg"	0	0.366	0.372	0	0.262
"311"	"f004/elh2_004097.jpg"	0	0.042	0.95	0	0.008
"312"	"f004/elh2_004780.jpg"	0.028	0.08	0	0	0.892
"313"	"f004/elh2_004275.jpg"	0	0.776	0.146	0	0.078
"314"	"f004/elh2_004222.jpg"	0	0.746	0.092	0	0.162
"315"	"f004/elh2_004420.jpg"	0.018	0.478	0.002	0	0.502
"316"	"f004/elh2_004251.jpg"	0	0.802	0.056	0	0.142
"317"	"f004/elh2_004798.jpg"	0.052	0.168	0	0	0.78
"318"	"f004/elh2_004781.jpg"	0.046	0.1	0	0	0.854
"319"	"f004/elh2_004601.jpg"	0.002	0.212	0	0	0.786
"320"	"f004/elh2_004922.jpg"	0.162	0.77	0	0	0.068
"321"	"f004/elh2_004675.jpg"	0.046	0.164	0	0	0.79
"322"	"f004/elh2_004475.jpg"	0.004	0.286	0	0	0.71
"323"	"f004/elh2_004048.jpg"	0	0	1	0	0
"324"	"f004/elh2_004382.jpg"	0.04	0.576	0.008	0	0.376
"325"	"f004/elh2_004228.jpg"	0	0.5	0.146	0	0.354
